Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm)
Jaraicejo,Cáceres,15.5 (16:20),6.2 (09:00),10.8,14 (15:40),10 (07:20),0,0,0,0,0
Trujillo,Cáceres,15.3 (16:00),2.4 (06:00),8.9,13 (14:40),8 (14:20),0,0,0,0,0
Cáceres,Cáceres,16.0 (16:40),0.8 (09:20),8.4,21 (20:10),15 (20:00),0,0,0,0,0
Cañaveral,Cáceres,15.6 (16:00),1.6 (09:30),8.6,14 (22:10),8 (17:40),0,0,0,0,0
Nuñomoral,Cáceres,16.7 (15:20),-3.6 (09:00),6.6,17 (16:30),9 (16:30),0,0,0,0,0
Guijo de Granadilla,Cáceres,15.5 (16:00),0.9 (06:10),8.2,17 (08:10),10 (03:00),0,0,0,0,0
Hervás,Cáceres,14.1 (16:00),4.8 (22:20),9.5,21 (04:10),15 (04:10),0,0,0,0,0
Montehermoso,Cáceres,15.0 (16:50),-0.7 (08:10),7.2,9 (16:00),6 (17:40),0,0,0,0,0
Tornavacas,Cáceres,15.9 (12:50),8.1 (03:30),12,55 (23:30),41 (23:00),0,0,0,0,0
Piornal,Cáceres,16.2 (12:20),5.5 (05:50),10.9,22 (19:20),14 (14:30),0,0,0,0,0
Plasencia,Cáceres,14.8 (16:50),1.9 (08:50),8.4,10 (16:00),6 (04:20),0,0,0,0,0
Coria,Cáceres,14.8 (17:10),0.0 (08:50),7.4,13 (10:40),9 (23:59),0,0,0,0,0
Torrecilla de los Angeles,Cáceres,16.6 (14:50),0.9 (06:30),8.8,17 (05:30),10 (09:00),0,0,0,0,0
Hoyos,Cáceres,15.8 (14:50),4.2 (08:30),10,26 (19:40),15 (19:40),0,0,0,0,0
Zarza La Mayor,Cáceres,15.9 (17:20),0.5 (08:20),8.2,8 (14:30),6 (18:40),0,0,0,0,0
Valverde del Fresno,Cáceres,18.0 (16:20),0.9 (08:40),9.4,14 (22:00),10 (22:50),0,0,0,0,0
Aliseda,Cáceres,16.8 (16:30),-2.2 (09:10),7.3,10 (13:40),7 (13:30),0,0,0,0,0
Brozas,Cáceres,15.0 (15:50),3.0 (08:40),9,13 (00:20),13 (20:10),0,0,0,0,0
Valencia de Alcántara,Cáceres,16.3 (16:30),1.6 (07:40),8.9,13 (00:30),10 (04:10),0,0,0,0,0
Guadalupe,Cáceres,16.2 (14:40),4.2 (08:30),10.2,9 (15:10),5 (13:50),0,0,0,0,0
Cañamero,Cáceres,14.1 (14:30),3.4 (07:50),8.8,14 (04:10),10 (04:10),0,0,0,0,0
Zorita,Cáceres,15.8 (16:20),4.4 (08:10),10.1,14 (23:40),12 (23:40),0,0,0,0,0
Alcuescar,Cáceres,17.1 (15:50),4.9 (02:50),11,9 (02:50),8 (02:50),0,0,0,0,0
Chipiona,Cádiz,16.4 (16:10),4.9 (08:10),10.6,12 (12:20),7 (12:30),0,0,0,0,0
"Rota, Base Naval",Cádiz,17.3 (15:10),4.1 (08:50),10.7,,,0,0,0,0,0
Grazalema,Cádiz,17.8 (12:50),5.4 (23:30),11.6,24 (02:20),9 (02:00),0,0,0,0,0
Olvera,Cádiz,18.3 (15:40),8.4 (06:20),13.3,19 (00:10),11 (22:30),0,0,0,0,0
El Bosque,Cádiz,19.9 (17:00),4.1 (08:30),12,12 (14:50),8 (03:00),0,0,0,0,0
San José del Valle,Cádiz,19.9 (16:20),6.8 (08:00),13.3,13 (16:40),9 (18:50),0,0,0,0,0
Jerez de la Frontera Aeropuerto,Cádiz,18.8 (15:10),1.1 (08:20),9.9,22 (17:50),11 (15:10),0,0,0,0,0
San Fernando,Cádiz,17.9 (15:30),9.4 (07:10),13.6,24 (05:20),15 (05:30),0,0,0,0,0
Cádiz,Cádiz,18.4 (15:40),9.9 (07:50),14.1,18 (00:50),14 (06:40),0,0,0,0,0
Medina Sidonia,Cádiz,19.7 (16:40),5.6 (08:50),12.7,30 (02:40),22 (02:40),0,0,0,0,0
Vejer de la Frontera,Cádiz,19.1 (15:30),10.0 (07:40),14.6,40 (00:20),21 (00:20),0,0,0,0,0
Barbate,Cádiz,20.0 (13:50),9.0 (23:30),14.5,39 (00:10),30 (02:40),0,0,0,0,0
Tarifa,Cádiz,15.8 (13:40),8.2 (23:59),12,54 (00:50),33 (00:30),0,0,0,0,0
Jimena de la Frontera,Cádiz,19.7 (16:50),1.0 (08:20),10.4,14 (16:10),6 (17:30),0,0,0,0,0
San Roque,Cádiz,17.9 (14:50),5.5 (08:30),11.7,24 (00:50),15 (00:40),0,0,0,0,0
Castro Urdiales,Cantabria,10.4 (13:50),4.8 (04:10),7.6,15 (14:10),10 (15:20),0,0,0,0,0
Ramales de la Victoria,Cantabria,9.6 (14:30),-1.4 (07:00),4.1,9 (16:10),5 (16:40),0,0,0,0,0
"Barcena de Cicero, Treto",Cantabria,10.5 (15:50),2.6 (07:10),6.5,16 (07:40),10 (03:10),0,0,0,0,0
"Soba, Alto Miera",Cantabria,12.8 (13:00),1.6 (23:00),7.2,16 (00:20),11 (00:20),0,0,0,0,0
Santander Aeropuerto,Cantabria,11.3 (14:00),1.8 (04:00),6.6,18 (14:00),13 (13:00),0,0,0,0,0
Santander,Cantabria,10.7 (14:40),7.0 (04:00),8.8,27 (05:50),19 (06:10),0,0,0,0,0
Villacarriedo,Cantabria,10.6 (15:10),-2.0 (06:50),4.3,19 (16:10),10 (16:30),0,0,0,0,0
"Los Tojos, Bárcena Mayor",Cantabria,12.0 (13:50),-1.6 (08:40),5.2,22 (14:50),12 (14:40),0,0,0,0,0
San Felices de Buelna,Cantabria,12.0 (14:30),-1.0 (08:20),5.5,13 (15:50),8 (15:50),0,0,0,0,0
"Torrelavega, Sierrapando",Cantabria,,,,,,,,,,
San Vicente de la Barquera,Cantabria,9.7 (14:40),1.4 (08:40),5.5,30 (06:30),14 (05:50),0,0,0,0,0
"Camaleño, Fuente De",Cantabria,15.3 (14:30),2.1 (23:50),8.7,11 (14:40),6 (15:00),0,0,0,0,0
"Cillórigo de Liébana, Tama",Cantabria,11.6 (15:20),-4.0 (08:30),3.8,17 (14:40),12 (14:40),0,0,0,0,0
Tresviso,Cantabria,14.0 (15:10),4.6 (23:10),9.3,15 (08:10),12 (08:10),0,0,0,0,0
"Santillana del Mar, Altamira",Cantabria,9.1 (15:40),2.5 (02:40),5.8,17 (13:40),10 (02:50),0.2,0,0.2,0,0
Reinosa,Cantabria,13.9 (14:40),-3.6 (09:20),5.1,,,0,0,0,0,0
Alto Campoo,Cantabria,11.4 (12:40),2.0 (04:30),6.7,28 (15:40),14 (17:10),0,0,0,0,0
"Valderredible, Cubillo de Ebro",Cantabria,14.8 (15:20),-6.1 (09:00),4.4,22 (15:30),12 (15:30),0,0,0,0,0
"Valderredible, Polientes",Cantabria,14.7 (15:20),-5.6 (09:00),4.5,19 (15:10),10 (15:10),0,0,0,0,0
